44360,św. Klary z Asyżu,
44360,Klary z Asyżu,
45993,Walentynowicz,Anny
45993,Walentynowicz Anny,
45993,Anny Walentynowicz,
46045,Riedla,Ryszarda
46045,Riedla Ryszarda,
46045,Ryszarda Riedla,
46046,Zauchy,Andrzeja
46046,Zauchy Andrzeja,
46046,Andrzeja Zauchy,
46155,Mazowieckiego,Tadeusza
46155,Mazowieckiego Tadeusza,
46155,Tadeusza Mazowieckiego,
46419,Szpilewskiego,Stanisława
46419,Szpilewskiego Stanisława,
46419,Stanisława Szpilewskiego,
48109,Andersa,Gen. Władysława
48109,Andersa Gen. Władysława,
48109,Gen. Władysława Andersa,
48749,Bartoszewskiego,Władysława
48749,Bartoszewskiego Władysława,
48749,Władysława Bartoszewskiego,
49194,Rondo Staromiejskie,
50053,Lewenstam,Zofii
50053,Lewenstam Zofii,
50053,Zofii Lewenstam,
50054,Freundlicha,Otto
50054,Freundlicha Otto,
50054,Otto Freundlicha,
50055,Kolbego,św. Maksymiliana
50055,Kolbego św. Maksymiliana,
50055,św. Maksymiliana Kolbego,
50056,Szumskiego,Jana
50056,Szumskiego Jana,
50056,Jana Szumskiego,
50057,Kurowskiej,Zofii
50057,Kurowskiej Zofii,
50057,Zofii Kurowskiej,
50058,Usteckie,
50059,Zielińskiej,Barbary
50059,Zielińskiej Barbary,
50059,Barbary Zielińskiej,
50061,Papisten,Triny
50061,Papisten Triny,
50061,Triny Papisten,
50062,Szołdry,Tadeusza
50062,Szołdry Tadeusza,
50062,Tadeusza Szołdry,
50064,Słupskiego Pułku Lotnictwa Myśliwskiego,28
50064,Słupskiego Pułku Lotnictwa Myśliwskiego 28,
50064,28 Słupskiego Pułku Lotnictwa Myśliwskiego,
50065,Siedzikówny ps. Inka,Danuty
50065,Siedzikówny ps. Inka Danuty,
50065,Danuty Siedzikówny ps. Inka,
50151,Wernera,Johannesa
50151,Wernera Johannesa,
50151,Johannesa Wernera,
50352,Rondo Księdza Biskupa Ignacego Jeża,
50354,Rondo Inwalidów Wojennych RP,
50356,Rondo Stanisława Kądzieli,
50357,Rondo gen. bryg. Stanisława Grzmota-Skotnickiego,
50358,Rondo Aleksego Antkiewicza,
50359,Rondo Stefana Morawskiego,
50360,Plac Błogosławionego Bronisława Kostkowskiego,
50362,Rondo Witolda Zblewskiego,
50364,Rondo Stefana Kisielewskiego,
50366,Park im. Józefa Trendela,
50368,Rondo Konstytucji,
50494,Rondo harcmistrza Stanisława Kiejdo,
51296,rondo Generała Ryszarda Kuklińskiego,
51314,Dembińskiego,Generała Henryka
51314,Dembińskiego Generała Henryka,
51314,Generała Henryka Dembińskiego,
51317,Zajączka,Generała Józefa
51317,Zajączka Generała Józefa,
51317,Generała Józefa Zajączka,
51318,Sokolnickiego,Generała Michała
51318,Sokolnickiego Generała Michała,
51318,Generała Michała Sokolnickiego,
51319,"Roweckiego ""GROTA""",Generała Stefana
51319,"Roweckiego ""GROTA"" Generała Stefana",
51319,"Roweckiego "GROTA",
51319,Roweckiego 'grota',
51319,roweckiego "grota",
51319,"Generała Stefana Roweckiego "GROTA",
51320,Michałowskiego,profesora Kazimierza
51320,Michałowskiego profesora Kazimierza,
51320,profesora Kazimierza Michałowskiego,
51321,Rydygiera,Prof. Ludwika
51321,Rydygiera Prof. Ludwika,
51321,Prof. Ludwika Rydygiera,
51322,Browicza,Prof. Tadeusza
51322,Browicza Prof. Tadeusza,
51322,Prof. Tadeusza Browicza,
51323,Orłowskiego,Prof. Wiktora
51323,Orłowskiego Prof. Wiktora,
51323,Prof. Wiktora Orłowskiego,
51324,Aleja 3-go Maja,
51324,3-go Maja,
51324,Aleja 3 Maja,
51324,Aleja 3 Maja ,
51514,MKS Cieśliki,
51515,Sibeliusa,Jeana
51515,Sibeliusa Jeana,
51515,Jeana Sibeliusa,
51980,Aleja Brzozowa,
51981,Nullo,Francesco
51981,Nullo Francesco,
51981,Francesco Nullo,
51981,Fr. Nullo,
51982,Biernackiego,dra Edmunda
51982,Biernackiego dra Edmunda,
51982,dra Edmunda Biernackiego,
51983,Modrzejewskiego,dra Alfonsa
51983,Modrzejewskiego dra Alfonsa,
51983,dra Alfonsa Modrzejewskiego,
51984,Gellerta,dra Jana
51984,Gellerta dra Jana,
51984,dra Jana Gellerta,
51985,Frąckowskiego,dr med. Kazimierza
51985,Frąckowskiego dr med. Kazimierza,
51985,dr med. Kazimierza Frąckowskiego,
51988,Skwer im. Heleny Szpilewskiej,
51989,Skwer im. Heinricha von Stephana,
52119,rondo Izabeli Jarugi-Nowackiej,
52120,Chotomskiej,Wandy
52120,Chotomskiej Wandy,
52120,Wandy Chotomskiej,
53772,Park Ireny Sendlerowej,
55522,Mireckiej,Mirosławy
55522,Mireckiej Mirosławy,
55522,Mirosławy Mireckiej,
55628,Rondo gen. bryg. Mieczysława Mozdyniewicza,
19831,Al. Henryka Sienkiewicza,
51324,Aleja 3-go Maja,
51324,Aleja 3-Go Maja,
51985,Dr Med. Kazimierza Frąckowskiego,
51985,Dr Med. Kazimierza Frąckowskie,
51985,DR MED. KAZIMIERZA FRĄCKOWSKI,
39989,GEN. TADEUSZA BORA-KOMOROWSKIE,
51319,GENERAŁA STEFANA ROWECKIEGO,
5300,konstantego ildefonsa gałczyńs,
3666,pl. dąbrowskiego,
21030,pl. stary rynek,
2123,pl. władysława broniewskiego,
26325,pl. zwycięstwa,
51320,prof. kazimierza michałowskieg,
26529,stefana żółkiewskiego,
51324,3 Maja,
34755,druyffa,
